	name	permutation	distance
0	rnd83_20.tsp	[0, 10, 16, 4, 13, 9, 15, 5, 3, 19, 1, 7, 18, 8, 11, 2, 6, 14, 12, 17]	3953
1	rnd35_20.tsp	[0, 7, 4, 19, 9, 3, 17, 10, 8, 2, 15, 6, 12, 11, 14, 5, 1, 16, 18, 13]	4025
2	rnd78_20.tsp	[0, 4, 17, 18, 11, 5, 7, 8, 13, 14, 3, 10, 12, 9, 2, 1, 6, 15, 16, 19]	3791
3	rnd36_20.tsp	[0, 4, 10, 16, 2, 1, 17, 14, 9, 8, 12, 18, 7, 3, 6, 5, 15, 13, 19, 11]	3842
4	rnd17_20.tsp	[0, 4, 5, 13, 17, 11, 3, 19, 2, 18, 6, 1, 10, 7, 15, 8, 12, 16, 9, 14]	3548
5	rnd38_20.tsp	[0, 5, 3, 1, 17, 8, 14, 10, 18, 4, 13, 11, 9, 15, 2, 16, 19, 6, 12, 7]	3705
6	rnd54_20.tsp	[0, 8, 11, 17, 4, 13, 15, 19, 7, 2, 5, 16, 18, 3, 10, 12, 1, 6, 14, 9]	3565
7	rnd13_20.tsp	[0, 7, 1, 2, 12, 16, 4, 6, 9, 11, 3, 13, 18, 8, 10, 19, 5, 17, 15, 14]	4207
8	rnd2_20.tsp	[0, 5, 8, 14, 17, 9, 3, 10, 2, 4, 16, 6, 18, 15, 11, 19, 13, 1, 12, 7]	3843
9	rnd95_20.tsp	[0, 2, 13, 17, 16, 3, 12, 1, 7, 9, 8, 19, 6, 11, 4, 5, 14, 10, 18, 15]	3661
10	rnd57_20.tsp	[0, 8, 6, 9, 11, 17, 18, 19, 16, 1, 5, 3, 12, 7, 2, 13, 4, 10, 14, 15]	4183
11	rnd59_20.tsp	[0, 2, 16, 13, 1, 5, 17, 19, 4, 14, 3, 10, 11, 8, 7, 6, 18, 15, 9, 12]	4165
12	rnd23_20.tsp	[0, 16, 11, 3, 9, 17, 10, 14, 12, 8, 18, 15, 2, 7, 4, 13, 6, 1, 5, 19]	3408
13	rnd6_20.tsp	[0, 15, 7, 2, 1, 4, 12, 3, 6, 17, 14, 10, 11, 5, 9, 8, 18, 19, 13, 16]	3960
14	rnd40_20.tsp	[0, 2, 10, 4, 18, 13, 14, 17, 19, 12, 9, 11, 7, 5, 6, 8, 1, 15, 3, 16]	4196
15	rnd43_20.tsp	[0, 1, 17, 4, 16, 15, 12, 13, 8, 19, 14, 5, 18, 3, 6, 9, 11, 7, 2, 10]	3605
16	rnd26_20.tsp	[0, 6, 10, 1, 15, 11, 16, 5, 9, 14, 4, 3, 7, 8, 18, 2, 12, 17, 13, 19]	4350
17	rnd76_20.tsp	[0, 12, 13, 9, 7, 6, 16, 15, 14, 3, 17, 1, 8, 2, 4, 11, 10, 19, 5, 18]	3994
18	rnd75_20.tsp	[0, 3, 12, 8, 11, 16, 19, 15, 1, 17, 7, 5, 6, 13, 2, 9, 14, 10, 18, 4]	3885
19	rnd82_20.tsp	[0, 7, 14, 13, 6, 11, 15, 1, 3, 4, 17, 10, 16, 9, 19, 12, 5, 2, 18, 8]	3765
20	rnd16_20.tsp	[0, 9, 3, 10, 11, 5, 6, 7, 15, 17, 4, 2, 14, 8, 1, 13, 19, 18, 16, 12]	4507
21	rnd19_20.tsp	[0, 6, 1, 11, 18, 12, 9, 3, 19, 8, 16, 4, 2, 15, 13, 5, 10, 17, 14, 7]	3796
22	rnd24_20.tsp	[0, 3, 17, 14, 18, 10, 1, 5, 19, 11, 6, 4, 12, 15, 2, 9, 13, 8, 16, 7]	3652
23	rnd49_20.tsp	[0, 3, 6, 9, 1, 2, 14, 12, 11, 15, 10, 5, 16, 8, 7, 13, 18, 4, 17, 19]	3980
24	rnd9_20.tsp	[0, 15, 10, 5, 2, 1, 19, 7, 16, 9, 8, 14, 17, 3, 6, 11, 4, 13, 12, 18]	4659
25	rnd3_20.tsp	[0, 1, 15, 19, 5, 18, 13, 10, 2, 14, 3, 12, 17, 6, 7, 9, 4, 16, 11, 8]	3785
