Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.05,
2,2,1,24.911957,0,1.7976931348623157E308,-1,0.0,0.0,1,24.911957,1,0.0,SAT,,0.055,
3,3,1,24.619371,0,1.7976931348623157E308,-1,0.0,0.0,1,24.619371,1,0.0,SAT,,0.057,
4,4,1,124.462126,0,1.7976931348623157E308,-1,0.0,0.0,1,124.462126,1,0.0,SAT,,0.055,
5,5,1,27.127104,0,1.7976931348623157E308,-1,0.0,0.0,1,27.127104,1,0.0,SAT,,0.056,
6,6,1,100.763198,0,1.7976931348623157E308,-1,0.0,0.0,1,100.763198,1,0.0,SAT,,0.055,
7,7,1,16.669311,0,1.7976931348623157E308,-1,0.0,0.0,1,16.669311,1,0.0,SAT,,0.055,
8,8,1,64.43177,0,1.7976931348623157E308,-1,0.0,0.0,1,64.43177,1,0.0,SAT,,0.054,
9,9,1,127.020754,0,1.7976931348623157E308,-1,0.0,0.0,1,127.020754,1,0.0,SAT,,0.055,
10,10,1,160.42776,0,1.7976931348623157E308,-1,0.0,0.0,1,160.42776,1,0.0,SAT,,0.055,
11,11,1,168.016943,0,1.7976931348623157E308,-1,0.0,0.0,1,168.016943,1,0.0,SAT,,0.055,
12,12,1,9.681747,0,1.7976931348623157E308,-1,0.0,0.0,1,9.681747,1,0.0,SAT,,0.055,
