1: x1='2.5', x2='7.5'
2: x1='4.432778212904282', x2='12.948480298365821'
3: x1='-3.3622696880051235', x2='2.5394946403297607'
4: x1='9.916548614786901', x2='12.881258075547507'
5: x1='0.7967883289979367', x2='7.30312898788298'
6: x1='1.0603222998852537', x2='7.634214310438762'
7: x1='-4.51121113866108', x2='5.74868530602238'
8: x1='7.347300772516602', x2='4.107321562420655'
9: x1='1.8489479429663964', x2='2.5532914009816214'
10: x1='2.380709259591886', x2='8.238200164082587'
11: x1='-0.13896573568121884', x2='9.960774361635083'
12: x1='8.270674443376357', x2='11.108640527139965'
13: x1='9.69582586107507', x2='10.277866326434074'
14: x1='1.948799049794152', x2='0.06250796176897555'
15: x1='-2.4561538210252842', x2='10.265835982218924'
16: x1='0.6553282426061209', x2='3.4619378064870103'
17: x1='-0.20585404476113833', x2='10.276052505228355'
18: x1='3.458171009239285', x2='0.1913409453440612'
19: x1='-1.8817762576068207', x2='10.265995597790052'
20: x1='-2.6834672716329355', x2='9.853039600826175'
21: x1='3.818161309176981', x2='10.263480847351817'
22: x1='6.380152051988581', x2='12.830807752107782'
23: x1='-2.7158545213659324', x2='9.944812912630907'
24: x1='-4.3171838004795395', x2='0.6937570850792968'
25: x1='-2.718203913088446', x2='3.904678302190858'
26: x1='0.33187244141802363', x2='6.853528608355642'
27: x1='-2.711658527960048', x2='5.142668637785214'
28: x1='0.8983293184854046', x2='10.969126424461678'
29: x1='-2.7131084933490266', x2='2.4676687092835046'
30: x1='2.8575954730500364', x2='3.3845358122332407'
31: x1='-2.7096426703100067', x2='10.192842521912794'
32: x1='2.0041232553149007', x2='9.717641782118255'
33: x1='-2.229863382859648', x2='1.121159345340722'
34: x1='1.2122085806753518', x2='11.976803607164971'
35: x1='-2.644321009656218', x2='1.8999792248727287'
36: x1='-1.404373764119211', x2='9.748220827598201'
37: x1='-1.8801517473755673', x2='2.0606262767960075'
38: x1='-3.37611075906133', x2='6.8334975826726305'
39: x1='-2.343309774076228', x2='0.4733548691939815'
40: x1='-0.975626092678489', x2='1.3359246910351785'
41: x1='-2.4793872624177746', x2='1.8427697786684698'
42: x1='2.258140459864256', x2='3.35253307653287'
43: x1='-2.010479243635847', x2='2.1589159853113844'
44: x1='-2.210349536259482', x2='2.9079891269066103'
45: x1='9.844463542289141', x2='1.8630389662737272'
46: x1='-2.333455613550213', x2='2.9330884864786295'
47: x1='-3.319281183752705', x2='2.9552229892806148'
48: x1='-2.144645732537254', x2='2.6610015158801232'
49: x1='6.797239816628931', x2='8.77707957408737'
50: x1='-2.2045991915210768', x2='3.1857496711055706'
51: x1='9.330986184163326', x2='12.296531636067062'
52: x1='-2.150313254860828', x2='3.1791039137000943'
53: x1='7.000312997705278', x2='11.232045610210948'
54: x1='-2.095936630063103', x2='2.575911665809802'
55: x1='-3.578962115833849', x2='9.80629802985526'
56: x1='7.679307122416786', x2='10.254640942119906'
57: x1='-3.7315152903658118', x2='10.22386764444376'
58: x1='4.273374847517722', x2='6.92398711730689'
59: x1='-3.6863720112501714', x2='10.168865373337601'
60: x1='8.971438346283287', x2='11.348395115348062'
61: x1='-3.6991482528957182', x2='10.084921791797987'
62: x1='-1.8069244577079036', x2='5.119249965241926'
63: x1='-3.739172823404881', x2='10.189096947404995'
64: x1='-3.161167260606451', x2='4.041701103144985'
65: x1='-3.595328317096376', x2='9.752179357776937'
66: x1='-3.888244957708951', x2='10.232359806680394'
67: x1='2.212562408719416', x2='6.204245393992235'
68: x1='-3.9053443192372694', x2='10.533447358396947'
69: x1='7.578436626956986', x2='5.490351551734914'
70: x1='-3.9086233399157595', x2='10.69259765134272'
71: x1='9.527670566966847', x2='9.187665072796815'
72: x1='-3.9580209436656064', x2='0.11277657313274847'
73: x1='7.5684932810317385', x2='12.976048664934963'
74: x1='-3.926007193449678', x2='9.905912926851798'
75: x1='8.864944084704424', x2='13.726649607198489'
76: x1='-3.5423755458136856', x2='0.28202324305778403'
77: x1='1.732924386223841', x2='0.313378219372315'
78: x1='-3.346026910165415', x2='12.703285367274518'
79: x1='1.4561441388533893', x2='0.2917463268329923'
80: x1='8.9253269907038', x2='5.829069073342085'
81: x1='1.3843209688841442', x2='0.25242240154384477'
82: x1='2.297806108323205', x2='12.752636369273205'
83: x1='1.8489479429663964', x2='0.4396748613712471'
84: x1='3.1142064094568127', x2='5.899712004483165'
85: x1='3.6402901846337006', x2='0.3709699288479523'
86: x1='0.24832319405966352', x2='14.253812664635097'
87: x1='3.9533965283135686', x2='0.42646833066782464'
88: x1='-3.738237518162266', x2='14.088071660186666'
89: x1='7.839604972507868', x2='6.0603276215'
90: x1='-3.8745705550434417', x2='14.297026129304742'
91: x1='-3.6911780387971795', x2='14.774907367269394'
92: x1='-3.5632975377383342', x2='13.636197997540298'
93: x1='3.839646457591831', x2='8.035582048954925'
94: x1='-3.9147634562612716', x2='14.242743441368921'
95: x1='1.463837844780426', x2='11.934044866992641'
96: x1='-3.737172147624703', x2='14.35881226534973'
97: x1='3.5323018259472576', x2='6.233241503221562'
98: x1='-3.8206459261827224', x2='13.834368064185599'
99: x1='-3.941430260789037', x2='13.891959171554625'
100: x1='-2.556850399156393', x2='13.226775456147813'
