Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,2,0.0123538970947,0,1.0,8765092,0.0123538970947,0.0,1,0.0,0,0.0123538970947,SAT,,0.057,
2,1,5,0.0259628295898,0,1.0,7163446,0.0259628295898,0.0,1,0.0,1,0.0383167266845,SAT,,0.055,
3,2,2,0.0127580165863,0,1.0,8765092,0.0127580165863,0.0,1,0.0,1,0.0510747432708,SAT,,0.053,
4,1,1,0.0173399448395,0,1.0,5320365,0.0173399448395,0.0,1,0.0,1,0.06841468811029999,SAT,,0.054,
5,3,2,0.0141890048981,0,1.0,8765092,0.0141890048981,0.0,1,0.0,1,0.0826036930084,SAT,,0.053,
6,1,3,0.212722063065,0,1.0,8435516,0.212722063065,0.0,1,0.0,1,0.2953257560734,SAT,,0.255,
7,4,1,0.0149600505829,0,1.0,5320365,0.0149600505829,0.0,1,0.0,1,0.3102858066563,SAT,,0.053,
8,4,2,0.0141680240631,0,1.0,8765092,0.0141680240631,0.0,1,0.0,1,0.32445383071940004,SAT,,0.053,
9,4,5,0.0168359279633,0,1.0,7163446,0.0168359279633,0.0,1,0.0,1,0.34128975868270006,SAT,,0.053,
10,4,3,1.0,0,1.0,8435516,2.04563689232,0.0,0,0.0,1,2.3869266510027,TIMEOUT,,2.09,
11,1,4,0.0262818336487,0,1.0,16049169,0.0262818336487,0.0,1,0.0,2,2.4132084846514,SAT,,0.052,
12,5,3,1.0,0,1.0,8435516,2.02828192711,0.0,0,0.0,2,4.4414904117614,TIMEOUT,,2.067,
13,1,4,0.0256090164185,0,1.0,15375424,0.0256090164185,0.0,1,0.0,2,4.4670994281799,SAT,,0.055,
14,6,2,0.0142998695374,0,1.0,8765092,0.0142998695374,0.0,1,0.0,2,4.481399297717299,SAT,,0.053,
15,1,5,0.0174050331116,0,1.0,15753149,0.0174050331116,0.0,1,0.0,3,4.498804330828899,SAT,,0.052,
16,7,1,0.0150821208954,0,1.0,5320365,0.0150821208954,0.0,1,0.0,3,4.513886451724299,SAT,,0.052,
17,7,4,0.0179779529572,0,1.0,16049169,0.0179779529572,0.0,1,0.0,3,4.5318644046814995,SAT,,0.053,
18,7,5,0.0158500671387,0,1.0,7163446,0.0158500671387,0.0,1,0.0,3,4.5477144718202,SAT,,0.053,
19,7,4,0.0175631046295,0,1.0,15375424,0.0175631046295,0.0,1,0.0,3,4.5652775764497,SAT,,0.052,
20,7,2,0.0158030986786,0,1.0,8765092,0.0158030986786,0.0,1,0.0,3,4.5810806751283,SAT,,0.056,
21,7,3,1.0,0,1.0,8435516,2.05256104469,0.0,0,0.0,3,6.6336417198183,TIMEOUT,,2.088,
22,1,3,0.180019855499,0,1.0,1009110,0.180019855499,0.0,1,0.0,3,6.8136615753173,SAT,,0.204,
23,8,2,0.0143601894379,0,1.0,8765092,0.0143601894379,0.0,1,0.0,3,6.8280217647552,SAT,,0.053,
24,1,1,0.0152370929718,0,1.0,15686777,0.0152370929718,0.0,1,0.0,4,6.843258857727,SAT,,0.052,
25,9,1,0.0142772197723,0,1.0,5320365,0.0142772197723,0.0,1,0.0,4,6.8575360774993,SAT,,0.053,
26,9,5,0.0190718173981,0,1.0,15753149,0.0190718173981,0.0,1,0.0,4,6.8766078948974,SAT,,0.053,
27,9,4,0.0187120437622,0,1.0,15375424,0.0187120437622,0.0,1,0.0,4,6.8953199386596,SAT,,0.053,
28,9,3,1.0,0,1.0,1009110,2.04821705818,0.0,0,0.0,4,8.9435369968396,TIMEOUT,,2.089,
29,1,2,0.0173120498657,0,1.0,14371703,0.0173120498657,0.0,1,0.0,4,8.960849046705299,SAT,,0.053,
30,10,4,0.0207130908966,0,1.0,16049169,0.0207130908966,0.0,1,0.0,4,8.981562137601898,SAT,,0.052,
31,10,1,0.0132699012756,0,1.0,5320365,0.0132699012756,0.0,1,0.0,4,8.994832038877497,SAT,,0.053,
32,10,5,0.0193779468536,0,1.0,7163446,0.0193779468536,0.0,1,0.0,4,9.014209985731098,SAT,,0.053,
33,10,2,0.0183141231537,0,1.0,14371703,0.0183141231537,0.0,1,0.0,4,9.032524108884799,SAT,,0.053,
34,10,4,0.0204269886017,0,1.0,15375424,0.0204269886017,0.0,1,0.0,4,9.052951097486499,SAT,,0.053,
35,10,1,0.0156109333038,0,1.0,15686777,0.0156109333038,0.0,1,0.0,4,9.068562030790298,SAT,,0.053,
36,10,3,0.0934529304504,0,1.0,1009110,0.0934529304504,0.0,1,0.0,4,9.162014961240699,SAT,,0.128,
37,10,5,0.0184619426727,0,1.0,15753149,0.0184619426727,0.0,1,0.0,4,9.180476903913398,SAT,,0.052,
38,10,2,0.0170319080353,0,1.0,8765092,0.0170319080353,0.0,1,0.0,4,9.197508811948698,SAT,,0.052,
39,10,3,0.0911169052124,0,1.0,8435516,0.0911169052124,0.0,1,0.0,4,9.288625717161098,SAT,,0.128,
40,10,3,0.0926702022552,0,1.0,13757434,0.0926702022552,0.0,1,0.0,5,9.381295919416297,SAT,,0.128,
41,11,3,1.0,0,1.0,8435516,2.05283904076,0.0,0,0.0,5,11.434134960176298,TIMEOUT,,2.089,
42,10,4,0.0170769691467,0,1.0,5412823,0.0170769691467,0.0,1,0.0,5,11.451211929322998,SAT,,0.052,
43,12,1,0.013543844223,0,1.0,15686777,0.013543844223,0.0,1,0.0,5,11.464755773545997,SAT,,0.053,
44,12,3,1.0,0,1.0,13757434,2.06360602379,0.0,0,0.0,5,13.528361797335997,TIMEOUT,,2.089,
45,10,1,0.0109570026398,0,1.0,8756526,0.0109570026398,0.0,1,0.0,6,13.539318799975797,SAT,,0.03,
46,13,3,1.0,0,1.0,8435516,2.04992604256,0.0,0,0.0,6,15.589244842535798,TIMEOUT,,2.088,
47,10,2,0.0219390392303,0,1.0,12908281,0.0219390392303,0.0,1,0.0,6,15.611183881766099,SAT,,0.053,
48,14,3,1.0,0,1.0,13757434,2.06950592995,0.0,0,0.0,6,17.6806898117161,TIMEOUT,,2.092,
49,10,5,0.0179591178894,0,1.0,6750928,0.0179591178894,0.0,1,0.0,7,17.6986489296055,SAT,,0.051,
50,15,2,0.0146050453186,0,1.0,14371703,0.0146050453186,0.0,1,0.0,7,17.7132539749241,SAT,,0.053,
51,15,2,0.0146889686584,0,1.0,8765092,0.0146889686584,0.0,1,0.0,7,17.7279429435825,SAT,,0.053,
