Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,2,0.0,0,1.0,8765092,0.0258021354675,0.0,1,0.0,0,0.0258021354675,SAT,,0.106,
2,1,5,0.0,0,1.0,7163446,0.0287179946899,0.0,1,0.0,1,0.054520130157399996,SAT,,0.057,
3,2,2,0.0,0,1.0,8765092,0.0173621177673,0.0,1,0.0,1,0.0718822479247,SAT,,0.054,
4,2,5,0.0,0,1.0,7163446,0.0187530517578,0.0,1,0.0,1,0.09063529968249999,SAT,,0.054,
5,1,1,0.0,0,1.0,5320365,0.019250869751,0.0,1,0.0,1,0.10988616943349999,SAT,,0.056,
6,3,2,0.0,0,1.0,8765092,0.0141699314117,0.0,1,0.0,1,0.1240561008452,SAT,,0.054,
7,3,1,0.0,0,1.0,5320365,0.0142869949341,0.0,1,0.0,1,0.13834309577929998,SAT,,0.054,
8,3,5,0.0,0,1.0,7163446,0.0154809951782,0.0,1,0.0,1,0.1538240909575,SAT,,0.053,
9,1,3,0.0,0,1.0,8435516,0.353137016296,0.0,1,0.0,1,0.5069611072535,SAT,,0.381,
10,4,1,0.0,0,1.0,5320365,0.0163321495056,0.0,1,0.0,1,0.5232932567591,SAT,,0.054,
11,4,2,0.0,0,1.0,8765092,0.0165350437164,0.0,1,0.0,1,0.5398283004755,SAT,,0.054,
12,4,3,0.0,0,1.0,8435516,2.04024004936,0.0,0,0.0,1,2.5800683498355,TIMEOUT,,2.069,
13,4,5,0.0,0,1.0,7163446,0.0179200172424,0.0,1,0.0,1,2.5979883670779,SAT,,0.054,
14,1,4,0.0,0,1.0,16049169,0.0301818847656,0.0,1,0.0,2,2.6281702518435,SAT,,0.054,
